Beneficiários por Município
Assistência Médica por Município
Grande Região: Nordeste
Período:Dez/2014
"Município";"Assistência_Médica"
"210005 Açailândia";11827
"210010 Afonso Cunha";12
"210015 Água Doce do Maranhão";12
"210020 Alcântara";463
"210030 Aldeias Altas";420
"210040 Altamira do Maranhão";42
"210043 Alto Alegre do Maranhão";61
"210047 Alto Alegre do Pindaré";184
"210050 Alto Parnaíba";325
"210055 Amapá do Maranhão";8
"210060 Amarante do Maranhão";246
"210070 Anajatuba";155
"210080 Anapurus";50
"210083 Apicum-Açu";12
"210087 Araguanã";31
"210090 Araioses";93
"210095 Arame";90
"210100 Arari";937
"210110 Axixá";82
"210120 Bacabal";3783
"210125 Bacabeira";1296
"210130 Bacuri";90
"210135 Bacurituba";6
"210140 Balsas";5049
"210150 Barão de Grajaú";469
"210160 Barra do Corda";1396
"210170 Barreirinhas";1715
"210177 Bela Vista do Maranhão";25
"210173 Belágua";15
"210180 Benedito Leite";98
"210190 Bequimão";178
"210193 Bernardo do Mearim";7
"210197 Boa Vista do Gurupi";39
"210200 Bom Jardim";239
"210203 Bom Jesus das Selvas";422
"210207 Bom Lugar";72
"210210 Brejo";209
"210215 Brejo de Areia";14
"210220 Buriti";161
"210230 Buriti Bravo";109
"210232 Buriticupu";1008
"210235 Buritirana";30
"210237 Cachoeira Grande";27
"210240 Cajapió";32
"210250 Cajari";41
"210255 Campestre do Maranhão";239
"210260 Cândido Mendes";61
"210270 Cantanhede";56
"210275 Capinzal do Norte";143
"210280 Carolina";692
"210290 Carutapera";176
"210300 Caxias";6856
"210310 Cedral";32
"210312 Central do Maranhão";16
"210315 Centro do Guilherme";11
"210317 Centro Novo do Maranhão";48
"210320 Chapadinha";1393
"210325 Cidelândia";357
"210330 Codó";1867
"210340 Coelho Neto";2789
"210350 Colinas";387
"210355 Conceição do Lago-Açu";12
"210360 Coroatá";565
"210370 Cururupu";279
"210375 Davinópolis";362
"210380 Dom Pedro";342
"210390 Duque Bacelar";35
"210400 Esperantinópolis";189
"210405 Estreito";659
"210407 Feira Nova do Maranhão";22
"210408 Fernando Falcão";1
"210409 Formosa da Serra Negra";24
"210410 Fortaleza dos Nogueiras";100
"210420 Fortuna";90
"210430 Godofredo Viana";168
"210440 Gonçalves Dias";98
"210450 Governador Archer";41
"210455 Governador Edison Lobão";286
"210460 Governador Eugênio Barros";97
"210462 Governador Luiz Rocha";26
"210465 Governador Newton Bello";17
"210467 Governador Nunes Freire";106
"210470 Graça Aranha";51
"210480 Grajaú";533
"210490 Guimarães";120
"210500 Humberto de Campos";101
"210510 Icatu";84
"210515 Igarapé do Meio";64
"210520 Igarapé Grande";86
"210530 Imperatriz";39465
"210535 Itaipava do Grajaú";11
"210540 Itapecuru Mirim";1230
"210542 Itinga do Maranhão";175
"210545 Jatobá";19
"210547 Jenipapo dos Vieiras";23
"210550 João Lisboa";881
"210560 Joselândia";41
"210565 Junco do Maranhão";7
"210570 Lago da Pedra";301
"210580 Lago do Junco";36
"210594 Lago dos Rodrigues";25
"210590 Lago Verde";11
"210592 Lagoa do Mato";23
"210596 Lagoa Grande do Maranhão";13
"210598 Lajeado Novo";41
"210600 Lima Campos";101
"210610 Loreto";84
"210620 Luís Domingues";21
"210630 Magalhães de Almeida";117
