cidade,equipamento,existentes,emUso,existentesSUS,emUsoSUS
210020,Raio X ate 100 mA,1,1,1,1
210020,Equipo Odontologico,5,5,5,5
210020,Reanimador Pulmonar/AMBU,2,2,2,2
210020,Forno de Bier,1,1,1,1
210040,Raio X Dentario,1,1,1,1
210040,Equipo Odontologico,5,5,5,5
210040,Compressor Odontologico,2,2,2,2
210040,Fotopolimerizador,1,1,1,1
210040,Caneta de Alta Rotacao,3,3,3,3
210040,Caneta de Baixa Rotacao,3,3,3,3
210040,Amalgamador,1,1,1,1
210040,Eletrocardiografo,1,1,1,1
210047,Raio X de 100 a 500 mA,1,1,1,1
210047,Raio X Dentario,9,9,9,9
210047,Ultrassom Ecografo,1,1,1,1
210047,Ultrassom Convencional,1,1,1,1
210047,Grupo Gerador,1,1,1,1
210047,Equipo Odontologico,18,18,18,18
210047,Incubadora,1,1,1,1
210047,Monitor de ECG,1,1,1,1
210047,Reanimador Pulmonar/AMBU,1,1,1,1
210047,Eletrocardiografo,2,2,1,1
210047,Endoscopio das Vias Respiratorias,1,1,1,1
210047,Endoscopio Digestivo,2,2,2,2
210015,Raio X ate 100 mA,1,1,1,1
210015,Ultrassom Ecografo,1,1,1,1
210015,Grupo Gerador,1,1,1,1
210015,Equipo Odontologico,6,6,6,6
210015,Compressor Odontologico,1,1,1,1
210015,Fotopolimerizador,1,1,1,1
210015,Caneta de Alta Rotacao,1,1,1,1
210015,Caneta de Baixa Rotacao,1,1,1,1
210015,Amalgamador,1,1,1,1
210015,Desfibrilador,1,1,1,1
210015,Monitor de ECG,1,1,1,1
210015,Monitor de Pressao Invasivo,1,1,1,1
210015,Monitor de Pressao Nao-Invasivo,1,1,1,1
210015,Reanimador Pulmonar/AMBU,3,3,3,3
210015,Respirador/Ventilador,1,1,1,1
210015,Eletrocardiografo,1,1,1,1
210055,Equipo Odontologico,3,3,3,3
210055,Compressor Odontologico,3,3,3,3
210055,Fotopolimerizador,3,3,3,3
210055,Caneta de Alta Rotacao,3,3,3,3
210055,Caneta de Baixa Rotacao,3,3,3,3
210055,Amalgamador,3,3,3,3
210050,Grupo Gerador,1,1,1,1
210050,Equipo Odontologico,2,2,2,2
210050,Compressor Odontologico,1,1,1,1
210050,Fotopolimerizador,2,2,2,2
210050,Caneta de Alta Rotacao,2,2,2,2
210050,Caneta de Baixa Rotacao,1,1,1,1
210050,Amalgamador,3,3,3,3
210030,Raio X de 100 a 500 mA,1,1,1,1
210030,Ultrassom Convencional,2,2,2,2
210030,Controle Ambiental/Ar-condicionado Central,1,1,1,1
210030,Grupo Gerador,1,1,1,1
210030,Usina de Oxigenio,1,1,1,1
210030,Equipo Odontologico,1,1,1,1
210030,Bomba de Infusao,1,1,1,1
210030,Desfibrilador,1,1,1,1
210030,Monitor de ECG,1,1,1,1
210030,Monitor de Pressao Nao-Invasivo,1,1,1,1
210030,Reanimador Pulmonar/AMBU,2,2,2,2
210030,Respirador/Ventilador,1,1,1,1
210030,Eletrocardiografo,2,2,2,2
210080,Equipo Odontologico,4,4,4,4
210080,Monitor de Pressao Nao-Invasivo,1,1,1,1
210060,Raio X ate 100 mA,1,1,1,1
210060,Ultrassom Convencional,1,1,1,1
210060,Controle Ambiental/Ar-condicionado Central,14,7,14,7
210060,Equipo Odontologico,6,6,6,6
210060,Desfibrilador,3,3,3,3
210060,Equipamento de Fototerapia,1,1,1,1
210060,Incubadora,3,3,3,3
210060,Monitor de ECG,3,3,3,3
210060,Reanimador Pulmonar/AMBU,7,7,7,7
210060,Respirador/Ventilador,3,3,3,3
210060,Eletrocardiografo,1,1,1,1
210060,Endoscopio Digestivo,1,1,1,1
210060,Aparelho de Diatermia por Ultrassom/Ondas Curtas,2,2,2,2
210060,Aparelho de Eletroestimulacao,1,1,1,1
210060,Forno de Bier,2,2,2,2
210010,Raio X de 100 a 500 mA,1,1,1,1
210010,Controle Ambiental/Ar-condicionado Central,1,1,1,1
210010,Grupo Gerador,1,1,1,1
210010,Equipo Odontologico,4,4,4,4
210010,Compressor Odontologico,2,2,2,2
210010,Fotopolimerizador,2,2,2,2
210010,Caneta de Alta Rotacao,2,2,2,2
210010,Caneta de Baixa Rotacao,2,2,2,2
210010,Amalgamador,2,2,2,2
210010,Desfibrilador,1,1,1,1
210010,Monitor de ECG,1,1,1,1
210010,Monitor de Pressao Nao-Invasivo,1,1,1,1
210010,Reanimador Pulmonar/AMBU,5,5,5,5
210010,Respirador/Ventilador,1,1,1,1
210010,Eletrocardiografo,1,1,1,1
210005,Mamografo com Comando Simples,2,2,1,1
210005,Raio X ate 100 mA,4,4,1,1
210005,Raio X de 100 a 500 mA,6,6,2,2
210005,Tomógrafo Computadorizado,2,2,1,1
210005,Ultrassom Ecografo,8,8,2,2
210005,Ultrassom Convencional,2,2,1,1
210005,PROCESSADORA DE FILME EXCLUSIVA PARA MAMOGRAFIA,2,2,1,1
210005,Controle Ambiental/Ar-condicionado Central,122,121,18,18
210005,Grupo Gerador,4,4,1,1
210005,Equipo Odontologico,26,25,9,9
210005,Compressor Odontologico,6,6,1,1
210005,Caneta de Baixa Rotacao,8,8,1,1
210005,Bomba de Infusao,1,1,1,1
210005,Desfibrilador,6,6,5,5
210005,Equipamento de Fototerapia,3,3,2,2
210005,Monitor de ECG,3,3,2,2
210005,Reanimador Pulmonar/AMBU,8,8,7,7
210005,Respirador/Ventilador,2,2,1,1
210005,Eletrocardiografo,5,5,2,2
210005,Endoscopio das Vias Respiratorias,3,3,1,1
210005,Endoscopio Digestivo,3,3,1,1
210005,Equipamentos para Optometria,6,6,1,1
210005,Aparelho de Diatermia por Ultrassom/Ondas Curtas,3,3,1,1
210005,Aparelho de Eletroestimulacao,3,3,2,2
210043,Raio X ate 100 mA,1,1,1,1
210043,Raio X de 100 a 500 mA,1,1,1,1
210043,Raio X mais de 500mA,1,1,1,1
210043,Ultrassom Doppler Colorido,1,1,1,1
210043,Ultrassom Convencional,2,2,2,2
