cidade,equipamento,existentes,emUsoSUS,emUso,existentesSUS
310010,Raio X de 100 a 500 mA,1,0,0,1
310010,Raio X Dentario,3,3,3,3
310010,Ultrassom Convencional,1,1,1,1
310010,Equipo Odontologico,3,3,3,3
310010,Compressor Odontologico,3,3,3,3
310010,Fotopolimerizador,3,3,3,3
310010,Caneta de Alta Rotacao,3,3,3,3
310010,Caneta de Baixa Rotacao,3,3,3,3
310010,Amalgamador,3,3,3,3
310010,Aparelho de Profilaxia c/ Jato de Bicarbonato,1,1,1,1
310010,Berço Aquecido,1,1,1,1
310010,Desfibrilador,1,1,1,1
310010,Incubadora,1,1,1,1
310010,Monitor de ECG,1,1,1,1
310010,Reanimador Pulmonar/AMBU,2,2,2,2
310010,Eletrocardiografo,3,2,2,3
310010,Aparelho de Diatermia por Ultrassom/Ondas Curtas,2,2,2,2
310010,Aparelho de Eletroestimulacao,3,3,3,3
310010,Forno de Bier,2,2,2,2
310060,Raio X de 100 a 500 mA,1,1,1,1
310060,Equipo Odontologico,5,5,5,5
310060,Compressor Odontologico,1,1,1,1
310060,Fotopolimerizador,1,1,1,1
310060,Caneta de Alta Rotacao,1,1,1,1
310060,Caneta de Baixa Rotacao,1,1,1,1
310060,Amalgamador,1,1,1,1
310060,Aparelho de Profilaxia c/ Jato de Bicarbonato,1,1,1,1
310060,Desfibrilador,1,1,1,1
310060,Reanimador Pulmonar/AMBU,1,1,1,1
310060,Respirador/Ventilador,1,1,1,1
310060,Eletrocardiografo,1,1,1,1
310040,Usina de Oxigenio,2,1,1,2
310040,Equipo Odontologico,3,3,3,3
310040,Compressor Odontologico,2,2,2,2
310040,Fotopolimerizador,2,2,2,2
310040,Caneta de Alta Rotacao,2,2,2,2
310040,Caneta de Baixa Rotacao,2,2,2,2
310040,Amalgamador,2,2,2,2
310040,Aparelho de Profilaxia c/ Jato de Bicarbonato,1,1,1,1
310040,Eletrocardiografo,1,1,1,1
310090,Mamografo com Comando Simples,1,1,1,1
310090,Raio X ate 100 mA,1,1,1,1
310090,Raio X de 100 a 500 mA,1,1,1,1
310090,Raio X Dentario,3,1,3,1
310090,Raio X com Fluoroscopia,1,1,1,1
310090,Ultrassom Convencional,5,2,5,2
310090,PROCESSADORA DE FILME EXCLUSIVA PARA MAMOGRAFIA,1,1,1,1
310090,Controle Ambiental/Ar-condicionado Central,8,1,8,1
310090,Grupo Gerador,1,1,1,1
310090,Equipo Odontologico,17,10,17,10
310090,Compressor Odontologico,14,7,14,7
310090,Fotopolimerizador,13,5,13,5
310090,Caneta de Alta Rotacao,20,10,20,10
310090,Caneta de Baixa Rotacao,15,8,15,8
310090,Amalgamador,11,5,11,5
310090,Aparelho de Profilaxia c/ Jato de Bicarbonato,6,1,6,1
310090,Bomba de Infusao,3,1,1,1
310090,Berço Aquecido,1,1,1,1
310090,Desfibrilador,4,4,4,4
310090,Equipamento de Fototerapia,1,1,1,1
310090,Monitor de Pressao Nao-Invasivo,11,10,10,10
310090,Reanimador Pulmonar/AMBU,7,6,6,6
310090,Respirador/Ventilador,3,1,1,1
310090,Eletrocardiografo,4,2,4,2
310090,Aparelho de Diatermia por Ultrassom/Ondas Curtas,3,3,3,3
310090,Aparelho de Eletroestimulacao,4,4,4,4
310090,Forno de Bier,1,1,1,1
310070,Equipo Odontologico,2,2,2,2
310070,Desfibrilador,1,1,1,1
310070,Monitor de Pressao Nao-Invasivo,1,1,1,1
310070,Reanimador Pulmonar/AMBU,2,2,2,2
310070,Eletrocardiografo,1,1,1,1
310020,Mamografo com Comando Simples,1,1,1,1
310020,Raio X ate 100 mA,2,1,1,2
310020,Raio X de 100 a 500 mA,2,2,2,2
310020,Raio X mais de 500mA,1,1,1,1
310020,Ultrassom Doppler Colorido,1,1,1,1
310020,Ultrassom Convencional,2,2,2,2
310020,PROCESSADORA DE FILME EXCLUSIVA PARA MAMOGRAFIA,1,1,1,1
310020,Controle Ambiental/Ar-condicionado Central,9,2,9,2
310020,Equipo Odontologico,19,5,19,5
310020,Compressor Odontologico,1,1,1,1
310020,Fotopolimerizador,1,1,1,1
310020,Caneta de Alta Rotacao,1,1,1,1
310020,Caneta de Baixa Rotacao,1,1,1,1
310020,Amalgamador,1,1,1,1
310020,Aparelho de Profilaxia c/ Jato de Bicarbonato,1,1,1,1
310020,Bomba de Infusao,2,1,1,2
310020,Berço Aquecido,2,2,2,2
310020,Desfibrilador,3,3,3,3
310020,Equipamento de Fototerapia,1,1,1,1
310020,Incubadora,2,2,2,2
310020,Monitor de ECG,1,1,1,1
310020,Monitor de Pressao Nao-Invasivo,11,11,11,11
310020,Reanimador Pulmonar/AMBU,11,11,11,11
310020,Eletrocardiografo,5,4,5,4
310020,Aparelho de Diatermia por Ultrassom/Ondas Curtas,5,4,5,4
310020,Aparelho de Eletroestimulacao,4,4,4,4
310140,Equipo Odontologico,1,1,1,1
310140,Monitor de Pressao Nao-Invasivo,2,2,2,2
310140,Eletrocardiografo,1,1,1,1
310110,AUDIOMETRO DE UM CANAL,1,1,1,1
310110,Raio X ate 100 mA,1,1,1,1
310110,Raio X mais de 500mA,1,1,1,1
310110,Grupo Gerador,1,1,1,1
310110,Equipo Odontologico,6,6,6,6
310110,Compressor Odontologico,1,1,1,1
310110,Fotopolimerizador,1,1,1,1
310110,Caneta de Alta Rotacao,1,1,1,1
310110,Caneta de Baixa Rotacao,1,1,1,1
310110,Amalgamador,1,1,1,1
310110,Bomba de Infusao,6,6,6,6
310110,Berço Aquecido,5,5,5,5
310110,Desfibrilador,5,5,5,5
310110,Equipamento de Fototerapia,2,2,2,2
310110,Incubadora,3,3,3,3
310110,Monitor de ECG,3,3,3,3
310110,Monitor de Pressao Invasivo,1,1,1,1
310110,Reanimador Pulmonar/AMBU,16,16,16,16
310110,Eletrocardiografo,4,4,4,4
310110,Microscopio Cirurgico,1,1,1,1
310030,Mamografo com Comando Simples,1,1,1,1
310030,Raio X de 100 a 500 mA,1,1,1,1
310030,Ultrassom Convencional,1,1,1,1
310030,PROCESSADORA DE FILME EXCLUSIVA PARA MAMOGRAFIA,1,1,1,1
310030,Grupo Gerador,1,1,1,1
310030,Equipo Odontologico,7,6,6,7
310030,Compressor Odontologico,1,1,1,1
310030,Fotopolimerizador,1,1,1,1
310030,Caneta de Alta Rotacao,1,1,1,1
310030,Caneta de Baixa Rotacao,1,1,1,1
310030,Amalgamador,1,1,1,1
310030,Aparelho de Profilaxia c/ Jato de Bicarbonato,1,1,1,1
310030,Berço Aquecido,2,2,2,2
310030,Desfibrilador,2,2,2,2
310030,Equipamento de Fototerapia,1,1,1,1
310030,Incubadora,4,4,4,4
310030,Monitor de ECG,1,1,1,1
310030,Reanimador Pulmonar/AMBU,3,3,3,3
310030,Eletrocardiografo,2,2,2,2
310030,Endoscopio Digestivo,1,1,1,1
310030,Laparoscopio/Vídeo,1,1,1,1
310050,Equipo Odontologico,6,6,6,6
310050,Compressor Odontologico,6,6,6,6
310050,Fotopolimerizador,6,6,6,6
310050,Caneta de Alta Rotacao,4,4,4,4
310050,Caneta de Baixa Rotacao,6,6,6,6
310050,Amalgamador,6,6,6,6
310050,Reanimador Pulmonar/AMBU,2,2,2,2
310050,Eletrocardiografo,1,1,1,1
310130,Raio X Dentario,1,1,1,1
310130,Equipo Odontologico,2,2,2,2
310130,Berço Aquecido,1,1,1,1
310130,Desfibrilador,1,1,1,1
310130,Monitor de ECG,1,1,1,1
310130,Reanimador Pulmonar/AMBU,2,2,2,2
310130,Eletrocardiografo,1,1,1,1
310120,Mamografo com Estereotaxia,1,1,1,1
310120,Raio X ate 100 mA,1,1,1,1
310120,Raio X de 100 a 500 mA,1,1,1,1
310120,Tomógrafo Computadorizado,1,1,1,1
310120,Ultrassom Doppler Colorido,1,1,1,1
310120,PROCESSADORA DE FILME EXCLUSIVA PARA MAMOGRAFIA,1,1,1,1
310120,Grupo Gerador,1,1,1,1
310120,Equipo Odontologico,5,4,5,4
310120,Bomba de Infusao,4,4,4,4
310120,Berço Aquecido,2,2,2,2
310120,Desfibrilador,2,2,2,2
310120,Equipamento de Fototerapia,1,1,1,1
310120,Incubadora,2,2,2,2
310120,Monitor de ECG,2,2,2,2
310120,Reanimador Pulmonar/AMBU,10,10,10,10
310120,Respirador/Ventilador,2,2,2,2
310120,Eletrocardiografo,1,1,1,1
310120,Eletroencefalografo,1,1,1,1
310120,Endoscopio Digestivo,1,1,1,1
310120,Laparoscopio/Vídeo,1,1,1,1
310120,Microscopio Cirurgico,1,1,1,1
310120,Aparelho de Diatermia por Ultrassom/Ondas Curtas,1,1,1,1
310120,Forno de Bier,1,1,1,1
310100,Raio X de 100 a 500 mA,1,1,1,1
310100,Ultrassom Ecografo,1,1,1,1
310100,Equipo Odontologico,10,7,9,7
310100,Compressor Odontologico,8,6,8,6
310100,Fotopolimerizador,8,5,6,5
310100,Caneta de Alta Rotacao,8,6,8,6
310100,Caneta de Baixa Rotacao,8,6,8,6
310100,Amalgamador,6,5,6,5
